Index,ID,Sampling_site,Dist_city,Dist_road,Dist_water2,Dist_water3,Dist_water,Dist_humset,HDens_2km,HDens_500m,NDVImean_50m,NDVImean_500m,NDVImean_2km,cattle_numb,cattle_freq,effort_days,xcoord,ycoord,PA,survey_area,pa_type,year,Biome,CTmodel,CTnumber,CTcode,CTcode2,trail,trail_type,trail_type2,team,team2,team3,veg_field,cattle_field
1,1,OCCAJ01,1.332474867,0.137312397,-0.718338411,-1.02889989,-0.71437645,0.023026581,-0.436974918,-0.171953621,-0.254807745,-0.11855935,-0.293694087,-0.276327702,-0.270365111,0.837065434,-45.367522,-14.933456,PC,PC,1,2015,Cer,trophycam,B110816640,A,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
2,2,OCCAJ02,1.357679787,0.481328088,-0.402029392,-0.841357915,-0.500524722,-0.348882206,-0.436974918,-0.171953621,0.244382812,0.066279665,-0.576849035,0.019801023,-0.038120534,0.837065434,-45.381071,-14.919999,PC,PC,1,2015,Cer,trophycam,B131200715,B,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
3,3,OCCAJ03,1.219524275,0.455774027,-0.877509226,-1.123273453,-0.821989424,-0.6106053,-0.267272345,-0.171953621,-0.295281019,-0.302837063,-0.386178478,-0.276327702,-0.270365111,0.837065434,-45.395021,-14.933413,PC,PC,1,2015,Cer,trophycam,B131200711,B,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
4,4,OCCAJ04,1.275156529,0.2982311,0.133324582,-0.523942552,-0.138580022,-0.307609007,-0.436974918,-0.171953621,-0.248727804,-0.335091453,-0.262648116,-0.276327702,-0.270365111,0.837065434,-45.381294,-14.933379,PC,PC,1,2015,Cer,trophycam,B121000651,B,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
5,5,OCCAJ05,1.191779947,0.106206475,-0.644133,-0.984902948,-0.664207298,-0.124169895,-0.436974918,-0.171953621,-0.541058374,-0.311249179,-0.343114911,-0.276327702,-0.270365111,-3.329335283,-45.381328,-14.947185,PC,PC,1,2015,Cer,trophycam,B140711140,C,C,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
6,6,OCCAJ06,1.250210672,-0.050626778,-0.012698252,-0.610520579,-0.237303844,0.152116584,-0.436974918,-0.171953621,-0.074313825,-0.276270958,-0.391553576,-0.276327702,-0.270365111,0.837065434,-45.367756,-14.947181,PC,PC,1,2015,Cer,trophycam,B100817126,A,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
7,7,OCCAJ07,1.388889814,-0.032328023,-0.942905775,-1.114130242,-0.866203038,0.293069629,-0.436974918,-0.171953621,-0.517441016,-0.143004624,-0.353041435,-0.276327702,-0.270365111,0.837065434,-45.353602,-14.934155,PC,PC,1,2015,Cer,trophycam,B121018018,B,A,1,trail,trail,other,MJ,MJ,CER SS,N
8,8,OCCAJ08,1.473529472,0.158614761,-0.114769547,-0.671039411,-0.306312698,-0.056756558,-0.436974918,-0.171953621,-0.475824965,-0.65090885,-0.525596624,-0.276327702,-0.270365111,0.837065434,-45.35317,-14.920093,PC,PC,1,2015,Cer,trophycam,B10103853,A,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
9,9,OCCAJ09,1.409413025,0.327824221,-1.039736956,-1.219459483,-0.931669131,-0.035448192,-0.436974918,-0.171953621,-0.314136494,-0.230862173,-0.403787,-0.276327702,-0.270365111,0.837065434,-45.36805,-14.920254,PC,PC,1,2015,Cer,trophycam,B100817020,A,A,1,trail,estrada,other,MJ,MJ,CER SS,N
10,10,OCCAJ10,1.95877385,0.045343871,-0.811452153,0.480927476,-0.777329239,-0.19320202,-0.436974918,-0.171953621,-0.995160508,-0.967068819,-0.717773406,-0.276327702,-0.270365111,0.837065434,-45.29726,-14.879485,PC,PC,1,2015,Cer,trophycam,B12091038,B,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
11,11,OCCAJ11,2.033188984,0.214458601,-1.226986393,-0.063294197,-1.058265634,-0.499358739,-0.436974918,-0.171953621,-0.259142554,-0.622180304,-0.521866835,-0.202295521,-0.212303966,0.837065434,-45.297776,-14.866211,PC,PC,1,2015,Cer,trophycam,B131000470,B,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
12,12,OCCAJ12,1.978811926,0.402207105,-0.472030824,-0.554422367,-0.547851627,-0.600303399,0.653970192,-0.171953621,-0.315984443,-0.251688297,-0.358618104,-0.276327702,-0.270365111,-0.886962449,-45.311185,-14.865418,PC,PC,1,2015,Cer,trophycam,B140806204,C,C,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
13,13,OCCAJ13,2.116641087,0.403853465,-0.462622051,-0.469252377,-0.541490499,-0.742639488,0.108497637,-0.171953621,-0.14418386,-0.066084202,-0.177820562,-0.276327702,-0.270365111,0.837065434,-45.297916,-14.851847,PC,PC,1,2015,Cer,trophycam,B140415863,C,C,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
14,16,OCCAJ16,1.816804047,0.076784143,-1.084260311,0.695119358,-0.961770696,0.08895451,-0.436974918,-0.171953621,-0.389728263,-0.603997728,-0.610792273,-0.202295521,-0.212303966,0.837065434,-45.311555,-14.892873,PC,PC,1,2015,Cer,trophycam,B131200699,B,A,1,trail,trail,other,MJ,MJ,CER SS,N
15,17,OCCAJ17,1.55709438,0.348520808,-0.089065544,-0.296033123,-0.288934612,-0.398201421,-0.436974918,-0.171953621,-0.341546328,-0.345158213,-0.5433491,-0.276327702,-0.270365111,0.908899929,-45.352926,-14.906244,PC,PC,1,2015,Cer,trophycam,B110817581,A,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
16,18,OCCAJ18,1.494519446,0.513375768,-0.662417121,-0.99574374,-0.676568915,-0.37014384,-0.436974918,-0.171953621,-0.417028885,-0.388411442,-0.391028567,-0.276327702,-0.270365111,0.693396444,-45.367576,-14.906547,PC,PC,1,2015,Cer,trophycam,B110817501,A,A,1,carreiro,carreiro,other,MJ,MJ,CER SS,N
17,19,OCCAJ19,1.720283631,0.724018126,-1.031618971,-1.214646269,-0.926180684,-0.896379989,-0.141510617,-0.171953621,0.788659788,0.220289283,0.038064661,-0.276327702,-0.270365111,0.693396444,-45.352978,-14.87928,PC,PC,1,2015,Cer,trophycam,B130904567,B,A,1,carreiro,carreiro,other,MJ,MJ,MC,N
18,21,OCCAJ21,1.379349553,-0.369786611,-0.558493972,-0.394695388,-0.60630805,0.674059447,-0.436974918,-0.171953621,0.657351759,-0.30156469,-0.65728828,-0.276327702,-0.270365111,0.837065434,-45.339649,-14.946838,PC,PC,1,2015,Cer,trophycam,B130905345,B,A,1,carreiro,carreiro,other,FFP,FFP,MC,N
19,22,OCCAJ22,1.58905338,-0.131103913,-1.080166991,0.438572145,-0.959003264,0.199130543,-0.436974918,-0.171953621,-0.81765965,-0.583854802,-0.674075685,-0.276327702,-0.270365111,0.693396444,-45.327677,-14.919725,PC,PC,1,2015,Cer,trophycam,B110307278,A,A,1,trail,estrada,other,FFP,FFP,CER SS,N
20,23,OCCAJ23,1.456340941,-0.190165767,-0.781925472,-0.448810009,-0.757366698,0.361367364,-0.436974918,-0.171953621,-0.458497319,-0.296831071,-0.627037543,-0.276327702,-0.270365111,-0.671458963,-45.339277,-14.933627,PC,PC,1,2015,Cer,trophycam,B100826313,A,A,1,trail,estrada,other,FFP,FFP,CER SS,N
21,24,OCCAJ24,1.533174387,-8.65E-05,-0.026191672,-0.070767784,-0.246426541,0.047063804,-0.436974918,-0.171953621,-0.999107217,-0.817082288,-0.686685036,-0.276327702,-0.270365111,-3.257500788,-45.339521,-14.920142,PC,PC,1,2015,Cer,trophycam,B101014253,A,A,1,carreiro,carreiro,other,FFP,FFP,CER SS,N
22,25,OCCAJ25,1.615452168,0.190823055,-0.556142388,0.376498469,-0.60471818,-0.248093966,-0.436974918,-0.171953621,-0.257236463,-0.502554218,-0.720209022,-0.276327702,-0.270365111,-1.246134925,-45.339316,-14.906251,PC,PC,1,2015,Cer,trophycam,B110816641,A,A,1,N,N,other,FFP,FFP,CER SS,N
23,26,OCCAJ26,1.675753785,0.028156413,-1.11097371,0.793198034,-0.979831219,0.004077701,-0.436974918,-0.171953621,-0.669215317,-0.872542531,-0.677224885,-0.276327702,-0.270365111,0.837065434,-45.325466,-14.906422,PC,PC,1,2015,Cer,trophycam,B100081557,A,A,1,N,N,other,FFP,FFP,CER SS,N
24,27,OCCAJ27,1.639869369,0.538881794,-1.247546579,-0.544106195,-1.072166064,-0.724418408,-0.412731693,-0.171953621,-0.235579424,-0.56929289,-0.295840834,-0.276327702,-0.270365111,-1.030631439,-45.352904,-14.892528,PC,PC,1,2015,Cer,trophycam,B100825112,A,A,1,trail,estrada,other,FFP,FFP,VER,N
25,28,OCCAJ28,1.695572372,0.377013947,-0.697808126,-0.239068151,-0.700496236,-0.475596016,-0.436974918,-0.171953621,-0.945275146,-0.63526224,-0.439944065,-0.276327702,-0.270365111,0.477892959,-45.33924,-14.892796,PC,PC,1,2015,Cer,trophycam,B100815356,A,A,1,N,N,other,FFP,FFP,CER RALO,N
26,29,OCCAJ29,1.776570037,0.56253263,-0.083993,-0.652791767,-0.285505142,-0.551035408,-0.436974918,-0.171953621,-0.163977237,-0.12203042,-0.068165304,-0.276327702,-0.270365111,-0.527789973,-45.339045,-14.879426,PC,PC,1,2015,Cer,trophycam,B101028491,A,A,0,N,N,other,FFP,FFP,CER SS,N
27,30,OCCAJ30,2.011110382,-0.48985067,-0.018242973,1.665772375,-0.241052546,0.469484778,-0.436974918,-0.171953621,-0.608806198,-0.427054528,-0.60797238,-0.276327702,-0.270365111,0.837065434,-45.269751,-14.893264,PC,PC,1,2015,Cer,trophycam,B110307295,A,A,0,N,N,other,FFP,FFP,CER SS,N
