,mean,sd,2.50%,97.50%,Rhat
Nsite[1],6.569555556,1.484332721,4,10,1.00128962
Nsite[2],6.463814815,1.485670497,4,10,1.001713839
Nsite[3],5.242962963,1.650127783,2,9,1.001658639
Nsite[4],6.604888889,1.468043669,4,10,1.001064641
Nsite[5],6.084481481,2.012519593,2,10,1.000864516
Nsite[6],6.619740741,1.483927225,4,10,1.002195827
Nsite[7],5.549037037,1.515663553,3,9,1.002278404
Nsite[8],6.847148148,1.538307714,4,10,1.001082419
Nsite[9],7.134,1.402473409,5,10,1.001551471
Nsite[10],5.035888889,1.78466107,2,9,1.000840846
Nsite[11],6.134111111,1.615870304,3,10,1.002048259
Nsite[12],6.807814815,2.054011162,3,11,1.000926545
Nsite[13],3.910666667,1.803060968,1,8,1.001066175
Nsite[14],5.839925926,1.579552853,3,9,1.001333041
Nsite[15],5.543185185,1.710669919,3,9,1.000629665
Nsite[16],5.701333333,1.722923017,3,9,1.001522019
Nsite[17],5.610777778,1.715308049,3,9,1.001597492
Nsite[18],4.532111111,1.513329048,2,8,1.001628786
Nsite[19],4.773814815,1.567093829,2,8,1.001243826
Nsite[20],6.89,1.59127054,4,10,1.001772953
Nsite[21],6.432111111,2.045534829,3,11,1.001128138
Nsite[22],5.448592593,1.832909103,2,9,1.000822288
Nsite[23],6.779925926,1.544964422,4,10,1.001455486
Nsite[24],6.228,1.79560839,3,10,1.000944442
Nsite[25],5.570296296,1.701475097,3,9,1.000863723
Nsite[26],6.655740741,1.94799902,3,11,1.00104057
Nsite[27],4.701777778,1.735124345,2,8,1.000526395
Nsite[28],6.251666667,2.056436633,3,10,1.000951639
Nsite[29],7.362703704,1.463724133,5,11,1.001377144
Nsite[30],6.160703704,1.9464069,3,10,1.000712344
Nsite[31],5.995296296,1.772522209,3,10,1.000784247
Nsite[32],5.734333333,1.902347399,2,10,1.001138596
Nsite[33],7.172148148,1.914482046,4,11,1.001108344
Nsite[34],5.263111111,1.842404358,2,9,1.000664982
Nsite[35],7.576111111,1.679554753,5,11,1.001194984
Nsite[36],6.210259259,1.611118244,3,10,1.001470453
Nsite[37],6.237777778,1.644251155,3,10,1.000651555
Nsite[38],5.454703704,1.682474295,3,9,1.000670951
Nsite[39],3.664111111,1.210085518,2,6,1.000600966
Nsite[40],6.076407407,1.315084858,4,9,1.00054388
Nsite[41],5.411481481,1.135255389,4,8,1.000357355
Nsite[42],4.041148148,1.307655442,2,7,1.000648964
Nsite[43],3.874666667,1.271940626,2,7,1.000798154
Nsite[44],3.829592593,1.263454287,2,7,1.000188557
Nsite[45],3.060037037,1.310857767,1,6,1.000172233
Nsite[46],3.812740741,1.626059327,1,7,1.000360047
Nsite[47],5.429962963,1.137783005,4,8,1.000570465
Nsite[48],5.102,1.331761095,3,8,1.000148493
Nsite[49],3.635185185,1.459663897,1,7,1.000560764
Nsite[50],5.030444444,1.345208014,3,8,1.00033637
Nsite[51],4.110666667,1.34711135,2,7,1.001116925
Nsite[52],3.436037037,1.151727566,2,6,1.000431007
Nsite[53],2.673740741,1.233461009,1,5,1.000745064
Nsite[54],2.374407407,1.429480078,0,5,1.000641723
Nsite[55],3.996962963,1.691422937,1,7,0.9999756241
Nsite[56],4.201296296,1.053601666,3,7,1.000242008
Nsite[57],2.167814815,1.359636113,0,5,1.000315935
Nsite[58],3.376111111,1.120033831,2,6,1.000455155
Nsite[59],5.182407407,1.348118867,3,8,1.000832392
Nsite[60],5.607518519,1.207895825,4,8,1.000514202
Nsite[61],2.980666667,1.328737545,1,6,1.000542372
Nsite[62],4.795592593,1.460225855,2,8,1.000194378
Nsite[63],5.006592593,1.28378022,3,8,1.000285814
Nsite[64],4.092518519,1.726545145,1,8,1.000356964
Nsite[65],5.904703704,1.843358455,3,10,1.000388874
Nsite[66],3.326814815,1.397645368,1,6,1.000670435
Nsite[67],5.222777778,1.352758795,3,8,1.001127355
Nsite[68],6.559185185,1.190562262,5,9,1.000653428
Nsite[69],4.210407407,1.064908439,3,7,1.000272765
Nsite[70],3.005148148,1.301821788,1,6,1.000133544
Nsite[71],2.235444444,1.382083637,0,5,1.000455232
Nsite[72],4.528481481,1.16707072,3,7,1.000430745
Nsite[73],3.371703704,1.416746257,1,6,1.000377579
Nsite[74],4.875037037,1.252640826,3,8,1.000147652
Nsite[75],3.406518519,1.412877927,1,6,1.000585358
Nsite[76],2.307222222,1.395741403,0,5,1.000592463
Nsite[77],5.764444444,1.256648185,4,8,1.000740948
Nsite[78],2.851407407,1.523424108,0,6,1.000592094
Nsite[79],3.896777778,1.304650113,2,7,1.000593821
Nsite[80],3.400296296,1.412871961,1,6,1.000053527
Nsite[81],4.578185185,1.183409255,3,7,1.000697215
Nsite[82],3.977444444,1.297846479,2,7,1.001102878
Nsite[83],3.061037037,1.322191771,1,6,1.000127632
Nsite[84],4.189666667,1.579477313,1,8,1.000953931
Nsite[85],4.290037037,1.39145083,2,7,1.000560115
Nsite[86],3.170111111,1.577482384,0,6,1.000411506
Nsite[87],4.289259259,1.102591239,3,7,1.000239613
Nsite[88],4.349666667,1.123537063,3,7,1.000348155
Nsite[89],2.041555556,1.345516355,0,5,1.000290014
Nsite[90],2.945925926,1.311470362,1,6,1.000689478
Nsite[91],5.405222222,1.14375554,4,8,1.000447725
Nsite[92],5.253111111,1.366613905,3,8,1.001040414
Nsite[93],3.174925926,1.369437573,1,6,1.00059187
Nsite[94],3.531925926,1.451596656,1,7,1.000356504
Nsite[95],5.250925926,1.36559364,3,8,1.000516361
Nsite[96],3.971851852,1.542640679,1,7,1.000403001
