FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
0;1;1;OCCAJ01;1,332475;0,137312;-0,718338;-1,0289;-0,714376;0,023027;-0,436975;-0,171954;-0,254808;-0,118559;-0,293694;-0,276328;-0,270365;0,837065;-45,367522;-14,933456;PC;PC;1;2015;Cer;trophycam;B110816640;A;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,330006987
1;2;2;OCCAJ02;1,35768;0,481328;-0,402029;-0,841358;-0,500525;-0,348882;-0,436975;-0,171954;0,244383;0,06628;-0,576849;0,019801;-0,038121;0,837065;-45,381071;-14,919999;PC;PC;1;2015;Cer;trophycam;B131200715;B;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,252963006
2;3;3;OCCAJ03;1,219524;0,455774;-0,877509;-1,123273;-0,821989;-0,610605;-0,267272;-0,171954;-0,295281;-0,302837;-0,386178;-0,276328;-0,270365;0,837065;-45,395021;-14,933413;PC;PC;1;2015;Cer;trophycam;B131200711;B;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,457372993
3;4;4;OCCAJ04;1,275157;0,298231;0,133325;-0,523943;-0,13858;-0,307609;-0,436975;-0,171954;-0,248728;-0,335091;-0,262648;-0,276328;-0,270365;0,837065;-45,381294;-14,933379;PC;PC;1;2015;Cer;trophycam;B121000651;B;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,353911996
4;5;5;OCCAJ05;1,19178;0,106206;-0,644133;-0,984903;-0,664207;-0,12417;-0,436975;-0,171954;-0,541058;-0,311249;-0,343115;-0,276328;-0,270365;-3,329335;-45,381328;-14,947185;PC;PC;1;2015;Cer;trophycam;B140711140;C;C;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,486369997
5;6;6;OCCAJ06;1,250211;-0,050627;-0,012698;-0,610521;-0,237304;0,152117;-0,436975;-0,171954;-0,074314;-0,276271;-0,391554;-0,276328;-0,270365;0,837065;-45,367756;-14,947181;PC;PC;1;2015;Cer;trophycam;B100817126;A;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,511394978
6;7;7;OCCAJ07;1,38889;-0,032328;-0,942906;-1,11413;-0,866203;0,29307;-0,436975;-0,171954;-0,517441;-0,143005;-0,353041;-0,276328;-0,270365;0,837065;-45,353602;-14,934155;PC;PC;1;2015;Cer;trophycam;B121018018;B;A;1;trail;trail;other;MJ;MJ;CER SS;N;0,259591997
7;8;8;OCCAJ08;1,473529;0,158615;-0,11477;-0,671039;-0,306313;-0,056757;-0,436975;-0,171954;-0,475825;-0,650909;-0,525597;-0,276328;-0,270365;0,837065;-45,35317;-14,920093;PC;PC;1;2015;Cer;trophycam;B10103853;A;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,367422998
8;9;9;OCCAJ09;1,409413;0,327824;-1,039737;-1,219459;-0,931669;-0,035448;-0,436975;-0,171954;-0,314136;-0,230862;-0,403787;-0,276328;-0,270365;0,837065;-45,36805;-14,920254;PC;PC;1;2015;Cer;trophycam;B100817020;A;A;1;trail;estrada;other;MJ;MJ;CER SS;N;0,626323998
9;10;10;OCCAJ10;1,958774;0,045344;-0,811452;0,480927;-0,777329;-0,193202;-0,436975;-0,171954;-0,995161;-0,967069;-0,717773;-0,276328;-0,270365;0,837065;-45,29726;-14,879485;PC;PC;1;2015;Cer;trophycam;B12091038;B;A;1;carreiro;carreiro;other;MJ;MJ;CER SS;N;0,720088005
